year,consultant,candidate,statename,cd,FailedToFind,ReasonNotFound,Found in Flagged List,Found in Cleaned List,Found in Full List,Cleaning term responsible for drop,,,,,,
2002,AMERICAN VIEWPOINT,ADAM TAFF,Kansas,3,,,,,,,,,,,,
2002,SCOTT COTTINGTON,ADAM TAFF,Kansas,3,0,1,0,0,1,Travel,,,,,,
2002,THE FARWELL GROUP,ADAM TAFF,Kansas,3,,,,,,,,,,,,
2002,MCCARTHY MARCUS HENNINGS,ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2002,"MENTZER MEDIA SERVICES, INC.",ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2002,VOTER CONSUMER RESEARCH,ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2002,MESSAGE & MEDIA,ANNE SUMERS,New Jersey,5,1,2,1,,,,,,,,,
2002,CHRISTENSEN MCDEVITT INC.,ARTUR DAVIS,Alabama,7,1,1,0,0,1,Fundraising,,,,,,
2002,"FLETCHER & ROWLEY CONSULTING, INC.",ARTUR DAVIS,Alabama,7,,4,0,0,0,,,,,,,
2002,SUTTER'S MILL,ARTUR DAVIS,Alabama,7,1,1,0,0,1,Fundraising,,,,,,
2002,THE MELLMAN GROUP,ARTUR DAVIS,Alabama,7,,,,,,,,,,,,
2002,GARIN HART YANG,BARON HILL,Indiana,9,,,,,,,,,,,,
2002,STRUBLE OPPEL EICHENBAUM COMMUNICATIONS,BARON HILL,Tennessee,9,,,,,,,,,,,,
2002,HICKMAN BROWN,BEN JONES,Virginia,7,,,,,,,,,,,,
2002,BENNETT PETTS & BLUMENTHAL,BETTY RICHARDSON,Idaho,1,,,,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,BILL JANKLOW,South Dakota,1,,,,,,,,,,,,
2002,THE STEVENS & SCHRIEFER GROUP,BILL JANKLOW,South Dakota,1,,,,,,,,,,,,
2002,GREENER & HOOK,BILL SHUSTER,Pennsylvania,9,,,,,,,,,,,,
2002,THE TARRANCE GROUP,BILL SHUSTER,Pennsylvania,9,,,,,,,,,,,,
2002,MURPHY PUTNAM MEDIA,BOB ETHERIDGE,North Carolina,2,,,,,,,,,,,,
