,y2004,y2006,democrat,democrat04,democrat06,chall,open,female,disrepvote,senate,isssal2,demdisrepvote,oppgoneg,fraised2,goneg,negperson,negiss,risk,issueowner,bioreason,biooccup,biofamil2,poll,bioorg,biotown,positions,endorse,partybann,cfscore,region,incumbent,newdist,newdistAlt
1,0,0,1,0,0,0,0,0,39,0,0.280990094,39,0,0.022753,0,NA,NA,1,9.228571892,0,1,1,NA,0,1,2,2,0,-0.870288312,7,1,61,3
2,1,0,1,1,0,0,0,0,39,0,0.222178221,39,1,0.0275045,0,0,0,2,13.23333359,0,1,0,1,0,0,0,8,0,-0.870288312,7,1,61,3
3,0,1,1,0,1,0,0,0,47,0,0.177425742,47,1,0.027027201,0,0,0,3,17.81428528,0,1,0,0,0,0,2,2,0,-0.870288312,7,1,53,2
4,1,0,1,1,0,0,0,0,30,0,NA,30,0,0.018388201,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,-0.637459934,1,1,70,3
5,0,1,0,0,0,1,0,0,55,0,0.206534654,0,0,0.0118485,1,1,1,5,-13.35454559,1,1,1,0,1,1,2,30,0,1.286834836,3,0,55,2
6,1,0,0,0,0,1,0,0,36,0,0.417821795,0,0,0.0035733,1,1,1,2,-0.171428576,1,1,0,0,1,1,2,0,0,0.099173389,1,0,36,0
7,1,0,1,1,0,1,0,0,57,0,0.075841583,57,0,0.0028797,0,0,0,6,10.44999981,1,1,1,0,0,0,2,0,0,-0.439749718,5,0,43,1
8,0,0,1,0,0,1,0,0,58,0,0.244158417,58,0,0.0137708,1,NA,NA,4,-3.150000095,1,1,1,NA,1,1,1,1,0,-0.502248943,5,0,42,0
9,1,0,1,1,0,1,0,0,51,0,0.461980194,51,0,0.0020114,1,0,1,5,5.215384483,0,1,0,0,1,0,2,100,0,-1.506134272,2,0,49,1
10,0,0,1,0,0,0,0,0,43,0,0.164158419,43,1,0.0128808,0,NA,NA,1,13.09375,0,1,0,NA,1,1,0,18,0,-1.278423548,0,1,57,2
11,1,0,1,1,0,0,0,0,43,0,0.312475234,43,0,0.0203811,1,0,0,2,11.73333359,0,1,0,0,0,1,1,17,0,-1.278423548,0,1,57,2
12,0,1,1,0,1,0,0,0,43,0,0.231287137,43,0,0.0267269,0,0,0,1,25.58571434,0,1,0,0,0,1,2,29,0,-1.278423548,0,1,57,2
13,0,0,0,0,0,1,0,0,46,0,0.071683168,0,0,0.0003149,0,NA,NA,2,0.614285707,0,1,0,NA,0,0,2,0,0,1.354721665,2,0,46,1
14,0,0,1,0,0,1,0,0,64,0,0.219999999,64,0,NA,0,NA,NA,1,-4.133333206,0,1,0,NA,0,0,1,6,0,NA,4,0,36,0
15,0,0,0,0,0,0,1,0,34,0,0.373861372,0,0,0.0050407,0,NA,NA,3,4.564285755,0,1,1,NA,0,1,1,19,0,0.674770713,2,0,34,0
16,0,1,1,0,1,1,0,0,55,0,0.288514853,55,0,0.0027214,1,1,1,4,13,1,1,0,0,1,1,2,9,0,-1.679663658,2,0,45,1
17,1,0,1,1,0,1,0,0,51,0,0.312475234,51,0,0.032780599,1,1,0,5,10.39999962,1,1,0,1,0,0,2,3,0,-1.108452797,6,0,49,1
18,0,1,0,0,0,0,1,1,57,0,0.120792076,0,1,0.0653807,1,0,1,1,-5.666666508,0,1,1,1,1,1,4,5,0,1.36558044,3,0,57,2
19,0,0,1,0,0,1,0,1,57,0,0.140198022,57,0,NA,0,NA,NA,2,9.25,0,1,0,NA,0,1,2,0,0,NA,5,0,43,1
20,0,1,0,0,0,0,0,0,59,0,0.090891093,0,0,0.035547402,0,0,0,0,-0.75,1,1,0,0,0,1,0,3,0,0.733798027,4,1,59,2
21,1,0,1,1,0,1,0,0,44,0,0.355445564,44,1,0.0107346,1,1,1,5,3,1,1,0,0,1,0,3,72,0,-1.11529541,1,0,56,2
22,1,0,1,1,0,1,0,0,45,0,0.393267334,45,1,0.047525,0,0,0,4,4.117647171,0,1,1,0,1,1,3,27,1,-0.569441676,4,0,55,2
23,1,0,0,0,0,1,0,0,33,0,0.362970293,0,0,0.0013108,1,0,1,3,-1.266666651,0,1,1,0,1,0,3,0,0,0.107615337,0,0,33,0
24,0,1,0,0,0,1,0,0,41,0,0.060990099,0,0,0.0016856,0,0,0,1,-10.33333302,0,1,0,1,1,1,2,1,0,0.989592612,0,0,41,0
