"",2002000,1,1,1,0,0
"Armour",2002008,1,1,1,0,0
"Axelrod",2002010,1,1,1,0,0
"Bates",2002012,1,1,1,0,0
"Bennett",2002013,1,1,1,8,0
"Blaemire",2002014,1,1,1,0,0
"Buckman",2002016,1,1,1,0,0
"Cmpgn Rsrc",2002018,1,1,1,0,0
"Cmpgn Strat",2002019,1,1,1,0,0
"Capitol",2002020,1,1,1,0,0
"Christensen",2002022,1,1,1,0,0
"Compass",2002024,1,1,1,0,0
"Cooper",2002026,1,1,2,0,0
"Craft",2002027,1,1,1,0,0
"Cunningham",2002028,1,1,1,0,0
"Jones",2002029,1,1,2,0,0
"Decision",2002030,1,1,1,0,0
"Fairbank",2002032,1,1,1,0,0
"Fenn",2002033,1,1,1,0,0
"Fiorello",2002034,1,1,1,0,0
"Fraioli",2002035,1,1,1,0,0
"Global",2002036,1,1,1,0,0
"Grassroots",2002037,1,1,1,0,0
"Greenberg",2002038,1,1,1,0,0
"Hamilton",2002040,1,1,1,0,0
"Harrison",2002041,1,1,1,0,0
"Harstad",2002042,1,1,1,0,0
"Hickman",2002043,1,1,1,0,0
"Slade",2002049,1,1,2,0,0
"Kalik",2002051,1,1,1,0,0
"Kiley",2002053,1,1,1,0,0
"Laguens",2002054,1,1,1,0,0
"Media",2002055,1,1,2,6,0
"Lake",2002056,1,1,1,0,0
"Lauer",2002057,1,1,1,0,0
"Lone",2002058,1,1,1,0,0
"Macwilliams",2002060,1,1,1,12,0
"Main",2002061,1,1,1,0,0
"Media Strat",2002067,1,1,1,0,0
"MSR",2002068,1,1,1,0,0
"Mellman",2002069,1,1,2,0,0
"Message",2002071,1,1,1,0,0
"Carrier",2002072,1,1,2,0,0
"Mobilize",2002073,1,1,1,0,0
"Murphy",2002076,1,1,1,0,0
"Penn",2002082,1,1,1,0,0
"Hart",2002084,1,1,1,0,0
"Plante",2002085,1,1,1,0,0
"Ridder",2002097,1,1,1,14,7
"Rindy",2002098,1,1,1,0,0
"Shea",2002103,1,1,1,0,0
"Shrum",2002104,1,1,1,0,0
"SKO",2002106,1,1,1,0,0
"Strategic",2002112,1,1,1,0,0
"Strategy",2002113,1,1,1,0,0
"Strong",2002114,1,1,1,0,0
"Strother",2002115,1,1,1,0,0
"Struble",2002116,1,1,1,0,0
"Sutter's",2002118,1,1,1,0,0
"Terris",2002119,1,1,1,0,0
"Campaign",2002121,1,1,2,0,0
"Feldman",2002123,1,1,2,0,0
"STM",2002129,1,1,1,0,0
"Varoga",2002130,1,1,1,7,0
"Yellin",2002138,1,1,1,0,7
